acc	assay_type	consent	experiment	instrument	platform	sample_acc	biosample	organism	sra_study	releasedate	bioproject	mbytes	mbases	access	taxid
DRR077057	AMPLICON	public	DRX070901	454 GS FLX Titanium	LS454	DRS079765	SAMD00066967	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077058	AMPLICON	public	DRX070902	454 GS FLX Titanium	LS454	DRS079766	SAMD00066968	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077059	AMPLICON	public	DRX070903	454 GS FLX Titanium	LS454	DRS079767	SAMD00066969	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077060	AMPLICON	public	DRX070904	454 GS FLX Titanium	LS454	DRS079768	SAMD00066970	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077061	AMPLICON	public	DRX070905	454 GS FLX Titanium	LS454	DRS079769	SAMD00066971	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077062	AMPLICON	public	DRX070906	454 GS FLX Titanium	LS454	DRS079770	SAMD00066972	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077063	AMPLICON	public	DRX070907	454 GS FLX Titanium	LS454	DRS079771	SAMD00066973	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077064	AMPLICON	public	DRX070908	454 GS FLX Titanium	LS454	DRS079772	SAMD00066974	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077065	AMPLICON	public	DRX070909	454 GS FLX Titanium	LS454	DRS079773	SAMD00066975	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077066	AMPLICON	public	DRX070910	454 GS FLX Titanium	LS454	DRS079774	SAMD00066976	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077067	AMPLICON	public	DRX070911	454 GS FLX Titanium	LS454	DRS079775	SAMD00066977	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077068	AMPLICON	public	DRX070912	454 GS FLX Titanium	LS454	DRS079776	SAMD00066978	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077069	AMPLICON	public	DRX070913	454 GS FLX Titanium	LS454	DRS079777	SAMD00066979	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077070	AMPLICON	public	DRX070914	454 GS FLX Titanium	LS454	DRS079778	SAMD00066980	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077071	AMPLICON	public	DRX070915	454 GS FLX Titanium	LS454	DRS079779	SAMD00066981	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077072	AMPLICON	public	DRX070916	454 GS FLX Titanium	LS454	DRS079780	SAMD00066982	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077073	AMPLICON	public	DRX070917	454 GS FLX Titanium	LS454	DRS079781	SAMD00066983	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077074	AMPLICON	public	DRX070918	454 GS FLX Titanium	LS454	DRS079782	SAMD00066984	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077075	AMPLICON	public	DRX070919	454 GS FLX Titanium	LS454	DRS079783	SAMD00066985	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077076	AMPLICON	public	DRX070920	454 GS FLX Titanium	LS454	DRS079784	SAMD00066986	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077077	AMPLICON	public	DRX070921	454 GS FLX Titanium	LS454	DRS079785	SAMD00066987	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077078	AMPLICON	public	DRX070922	454 GS FLX Titanium	LS454	DRS079786	SAMD00066988	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077079	AMPLICON	public	DRX070923	454 GS FLX Titanium	LS454	DRS079787	SAMD00066989	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077080	AMPLICON	public	DRX070924	454 GS FLX Titanium	LS454	DRS079788	SAMD00066990	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077081	AMPLICON	public	DRX070925	454 GS FLX Titanium	LS454	DRS079789	SAMD00066991	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077082	AMPLICON	public	DRX070926	454 GS FLX Titanium	LS454	DRS079790	SAMD00066992	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077083	AMPLICON	public	DRX070927	454 GS FLX Titanium	LS454	DRS079791	SAMD00066993	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077084	AMPLICON	public	DRX070928	454 GS FLX Titanium	LS454	DRS079792	SAMD00066994	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077085	AMPLICON	public	DRX070929	454 GS FLX Titanium	LS454	DRS079793	SAMD00066995	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077086	AMPLICON	public	DRX070930	454 GS FLX Titanium	LS454	DRS079794	SAMD00066996	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077087	AMPLICON	public	DRX070931	454 GS FLX Titanium	LS454	DRS079795	SAMD00066997	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077088	AMPLICON	public	DRX070932	454 GS FLX Titanium	LS454	DRS079796	SAMD00066998	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077089	AMPLICON	public	DRX070933	454 GS FLX Titanium	LS454	DRS079797	SAMD00066999	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077090	AMPLICON	public	DRX070934	454 GS FLX Titanium	LS454	DRS079798	SAMD00067000	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077091	AMPLICON	public	DRX070935	454 GS FLX Titanium	LS454	DRS079799	SAMD00067001	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077092	AMPLICON	public	DRX070936	454 GS FLX Titanium	LS454	DRS079800	SAMD00067002	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077093	AMPLICON	public	DRX070937	454 GS FLX Titanium	LS454	DRS079801	SAMD00067003	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077094	AMPLICON	public	DRX070938	454 GS FLX Titanium	LS454	DRS079802	SAMD00067004	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077095	AMPLICON	public	DRX070939	454 GS FLX Titanium	LS454	DRS079803	SAMD00067005	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077096	AMPLICON	public	DRX070940	454 GS FLX Titanium	LS454	DRS079804	SAMD00067006	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077097	AMPLICON	public	DRX070941	454 GS FLX Titanium	LS454	DRS079805	SAMD00067007	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077098	AMPLICON	public	DRX070942	454 GS FLX Titanium	LS454	DRS079806	SAMD00067008	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077099	AMPLICON	public	DRX070943	454 GS FLX Titanium	LS454	DRS079807	SAMD00067009	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077100	AMPLICON	public	DRX070944	454 GS FLX Titanium	LS454	DRS079808	SAMD00067010	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077101	AMPLICON	public	DRX070945	454 GS FLX Titanium	LS454	DRS079809	SAMD00067011	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077102	AMPLICON	public	DRX070946	454 GS FLX Titanium	LS454	DRS079810	SAMD00067012	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077103	AMPLICON	public	DRX070947	454 GS FLX Titanium	LS454	DRS079811	SAMD00067013	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077104	AMPLICON	public	DRX070948	454 GS FLX Titanium	LS454	DRS079812	SAMD00067014	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077105	AMPLICON	public	DRX070949	454 GS FLX Titanium	LS454	DRS079813	SAMD00067015	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077106	AMPLICON	public	DRX070950	454 GS FLX Titanium	LS454	DRS079814	SAMD00067016	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077107	AMPLICON	public	DRX070951	454 GS FLX Titanium	LS454	DRS079815	SAMD00067017	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077108	AMPLICON	public	DRX070952	454 GS FLX Titanium	LS454	DRS079816	SAMD00067018	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077109	AMPLICON	public	DRX070953	454 GS FLX Titanium	LS454	DRS079817	SAMD00067019	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077110	AMPLICON	public	DRX070954	454 GS FLX Titanium	LS454	DRS079818	SAMD00067020	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077111	AMPLICON	public	DRX070955	454 GS FLX Titanium	LS454	DRS079819	SAMD00067021	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077112	AMPLICON	public	DRX070956	454 GS FLX Titanium	LS454	DRS079820	SAMD00067022	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077113	AMPLICON	public	DRX070957	454 GS FLX Titanium	LS454	DRS079821	SAMD00067023	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077114	AMPLICON	public	DRX070958	454 GS FLX Titanium	LS454	DRS079822	SAMD00067024	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077115	AMPLICON	public	DRX070959	454 GS FLX Titanium	LS454	DRS079823	SAMD00067025	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077116	AMPLICON	public	DRX070960	454 GS FLX Titanium	LS454	DRS079824	SAMD00067026	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
DRR077117	AMPLICON	public	DRX070961	454 GS FLX Titanium	LS454	DRS079825	SAMD00067027	human gut metagenome	DRP004583	2018-11-21 00:00:00 UTC	PRJDB5310	0	0	public	408170.0
