biosample,organism,bioproject,librarysource,illumina_acc,illumina_instrument,illumina_mbases,illumina_avgspotlen,ont_acc,ont_instrument,ont_mbases,ont_avgspotlen,ont_releasedate,n_illumina_runs,n_ont_runs
SAMN09083457,'Brassica napus' phytoplasma,PRJNA464391,METAGENOMIC,SRR7548027,Illumina MiSeq,593,418,SRR7548026,MinION,165,1743,2018-07-20 00:00:00,1,1
SAMN20587791,Acacia pycnantha,PRJNA752212,GENOMIC,SRR16305340,Illumina NovaSeq 6000,144994,300,SRR16305335,PromethION,57567,10527,2021-12-03 00:00:00,2,2
SAMN13746629,Acanthamoeba castellanii,PRJNA599339,GENOMIC,SRR15928354,Illumina NovaSeq 6000,21184,300,SRR15928343,MinION,9310,11426,2021-09-17 00:00:00,1,1
SAMN13907871,Acanthamoeba castellanii,PRJNA599339,GENOMIC,SRR15928355,Illumina NovaSeq 6000,70125,300,SRR15928344,MinION,7275,8145,2021-09-17 00:00:00,1,1
SAMN09880519,Acanthamoeba castellanii,PRJNA487265,GENOMIC,SRR7769837,HiSeq X Ten,9414,302,SRR7765365,MinION,5249,3789,2018-08-29 00:00:00,1,3
SAMN42110095,Acanthamoeba castellanii,PRJNA1128890,GENOMIC,SRR29702808,Illumina NovaSeq 6000,49199,500,SRR29611893,PromethION,2699,787,2024-12-09 00:00:00,1,1
SAMN47224867,Acanthamoeba castellanii,PRJNA487265,GENOMIC,SRR32664745,NextSeq 2000,30317,259,SRR32664746,MinION,2569,5836,2025-03-12 00:00:00,1,1
SAMN47224869,Acanthamoeba castellanii,PRJNA487265,GENOMIC,SRR32664739,NextSeq 2000,56362,250,SRR32664743,MinION,2353,6049,2025-03-12 00:00:00,1,1
SAMN42110096,Acanthamoeba griffini,PRJNA1128892,GENOMIC,SRR29702784,Illumina NovaSeq 6000,38385,500,SRR29616293,PromethION,5442,2807,2024-12-09 00:00:00,1,1
SAMN31822496,Acanthamoeba polyphaga,PRJNA903937,GENOMIC,SRR22363966,NextSeq 2000,26176,298,SRR22363965,MinION,4943,1687,2022-11-30 00:00:00,1,1
SAMN24433775,Acanthamoeba sp. SK_2022a,PRJNA795591,GENOMIC,SRR17498866,HiSeq X Ten,9669,300,SRR17498865,GridION,2724,2571,2023-12-30 00:00:00,1,1
SAMN24433776,Acanthamoeba sp. SK_2022b,PRJNA795591,GENOMIC,SRR17498863,HiSeq X Ten,8334,300,SRR17498864,GridION,3420,2757,2023-12-30 00:00:00,1,1
SAMN24433777,Acanthamoeba sp. SK_2022c,PRJNA795591,GENOMIC,SRR17498862,HiSeq X Ten,8885,300,SRR17498861,GridION,441,689,2023-12-30 00:00:00,1,1
SAMN42110094,Acanthamoeba terricola,PRJNA1128888,GENOMIC,SRR29641075,Illumina NovaSeq 6000,17971,500,SRR29609175,PromethION,2406,1567,2024-12-09 00:00:00,1,1
SAMN24247047,Acanthiza chrysorrhoa,PRJNA790760,GENOMIC,SRR20678429,Illumina NovaSeq 6000,65063,302,SRR20652329,PromethION,13835,10421,2025-11-10 00:00:00,1,2
SAMN55286621,Acanthopagrus latus,PRJNA1421093,GENOMIC,SRR37203892,Illumina NovaSeq X,83303,300,SRR37203893,PromethION,19696,37342,2026-02-11 00:00:00,1,1
SAMEA5756186,Acanthosepion pharaonis,PRJEB33343,GENOMIC,ERR3431203,HiSeq X Ten,179413,299,ERR3418977,PromethION,338903,23554,2020-11-21 00:00:00,1,1
SAMN46239297,Acanthotermes acanthothorax,PRJNA1198669,GENOMIC,SRR32843499,Illumina HiSeq X,14929,281,SRR32843500,PromethION,53425,5207,2025-10-23 00:00:00,1,1
